time,sample,n_simulations,P_failure,g_mean,g_std,g_min,g_max,carb_depth_mean,carb_depth_std,lambda_1_mean,lambda_2_mean,lambda_3_mean,lambda_4_mean
0,8,1000,0.0,16.092595967663094,0.03488623076824727,16.05661804908757,16.301096941188277,0.993831989955938,0.034886230768247255,16.062055284583273,28.679204088653368,6.180483704260851,-0.014245248402538796
10,8,1000,0.0,8.21824457209152,0.17769684833449115,7.785190973888829,8.818441374776352,8.868183385527514,0.17769684833449115,8.199827230782947,6.5147069356914935,0.4268236834446287,0.21826269523494546
20,8,1000,0.0,4.025463774844384,0.28570987217018856,3.5838575502610706,5.587818020875,13.060964182774649,0.28570987217018856,3.855942117722394,3.4198178800456827,2.0154377405136605,0.09726123068237616
30,8,1000,0.0,0.9468162102634562,0.3692249214297627,0.2370141136767998,2.125550386940903,16.139611747355573,0.3692249214297627,0.8903444070796843,3.12420900082221,0.4985445650854772,0.18519379488327747
40,8,1000,1.0,-1.266279683706216,0.3093134449363817,-2.1282618357884395,-0.16118320915684947,18.35270764132525,0.3093134449363817,-1.3131841844789511,4.18770486965795,0.4061305279985914,0.10181456659270836
50,8,1000,1.0,-3.552801260289898,0.3130684633624914,-4.221562795248346,-2.3921974539998345,20.63922921790893,0.3130684633624914,-3.640613558968013,3.759034802915196,0.7153032844981493,0.09519816103211576
60,8,1000,1.0,-5.9049783108118215,0.29887176849010694,-6.657683202414145,-4.674098974179735,22.99140626843085,0.2988717684901069,-5.97282251429216,4.513251746647564,0.5061916760064281,0.030795964477735693
70,8,1000,1.0,-7.976961004188826,0.42742728240403766,-8.631173882598322,-6.293547645446743,25.063388961807856,0.4274272824040377,-8.317288567821022,1.8558168877244476,3.708310079117231,0.18486770057977167
80,8,1000,1.0,-9.377768951454353,0.4304115221512521,-10.555853897055325,-7.215460137573924,26.464196909073383,0.4304115221512521,-9.41293101032335,3.8847439203883525,0.13602120633585774,-0.016581277693635706
90,8,1000,1.0,-10.867830301615816,0.40934757998020627,-12.11308291238895,-9.176214351832254,27.954258259234848,0.40934757998020627,-10.908316003133278,3.523491911628503,0.1763635206314572,0.00013231044075845983
100,8,1000,1.0,-12.331005248419634,0.43138219671319955,-13.64523012519848,-10.445770052802438,29.41743320603867,0.43138219671319955,-12.344735468240396,3.721142688631757,0.10554586948301538,0.0464381576030228
0,9,1000,0.0,15.090205756285862,0.06355353969317772,15.020637619451673,15.344828500991676,2.479934649561632,0.06355353969317777,15.052912521377669,13.818872524735404,1.9869158865790333,0.17627138144057022
10,9,1000,0.0,3.6746543160304537,0.2967194973544325,2.8317388872365026,4.897132891642512,13.89548608981704,0.2967194973544325,3.648605374395944,4.825507277083916,0.2458154470428343,0.07713763149543464
20,9,1000,1.0,-2.6898540795791037,0.5278302593560384,-3.910208403773897,-0.7703260568755894,20.2599944854266,0.5278302593560384,-2.8184217028662313,2.3389684621391,0.6020710947456899,0.08118903563635664
30,9,1000,1.0,-7.210861368335741,0.7199466655982816,-9.196051886617571,-4.8597333628732144,24.781001774183235,0.7199466655982816,-7.240005008895327,2.0450668472371447,0.17183798666529246,0.09533706517293816
40,9,1000,1.0,-10.964325106880871,0.6980063970851608,-12.876463020453606,-8.692485512402818,28.534465512728364,0.6980063970851608,-10.987221968004963,1.9867997698509614,0.20551684963745026,0.14284251607785345
50,9,1000,1.0,-14.135399844308894,0.6403928187886365,-15.98268414970379,-12.039159599270118,31.70554025015639,0.6403928187886365,-14.135726270900587,2.2525612362296212,0.14564463220403595,0.14468036747133375
60,9,1000,1.0,-17.464650558896015,0.748827604117798,-19.244264879977674,-14.750064777272922,35.0347909647435,0.748827604117798,-17.48288188362949,1.8995870476199241,0.17881647909601783,0.1325792064636015
70,9,1000,1.0,-20.856667906094298,1.0549267213223594,-23.072397725441046,-17.11590342973172,38.42680831194179,1.0549267213223594,-20.953723522094872,1.1670974303752788,0.362785126585643,0.18054728790515104
80,9,1000,1.0,-23.58979503363149,1.0837777321864972,-26.423706164057602,-20.44042504232659,41.159935439478986,1.0837777321864972,-23.59136833206583,1.244224742049766,0.194105453995272,0.19132073532496288
90,9,1000,1.0,-26.152208756189864,1.1314122692411532,-29.083701696738817,-22.7620200512042,43.72234916203736,1.1314122692411532,-26.197328400402693,1.1619199356942285,0.25195225977320795,0.1748425105588507
100,9,1000,1.0,-28.85500579790944,1.1460423184463586,-31.741362476734057,-25.031854486921443,46.42514620375693,1.1460423184463586,-29.009419051167477,1.178257407082567,0.3505597844208319,0.08416094732524271
0,10,1000,0.0,15.252551544423337,0.020459622086272215,15.162883575440983,15.292615205728449,0.21722248987626255,0.02045962208627222,15.258866205370536,60.48433886260535,0.04735529181501592,0.7458029201439117
10,10,1000,0.0,10.183750606088704,0.0871682437081682,9.928062419885308,10.456219087268611,5.286023428210896,0.08716824370816824,10.183500832583821,16.715365372062625,0.14100773351310927,0.13559800448523143
20,10,1000,0.0,8.260654120164723,0.1077081333924331,7.9794784620970844,8.624147379918618,7.2091199141348765,0.10770813339243307,8.253527526089016,12.778602029893449,0.247843442768927,0.12050943285756596
30,10,1000,0.0,6.726901263353926,0.13615577191128675,6.344821037672993,7.379131904538241,8.742872770945675,0.13615577191128675,6.715503434665265,11.15431177005497,0.20044113701977131,0.04149043814231394
40,10,1000,0.0,5.187973770380555,0.16100714582007838,4.774189787959143,5.793521501991426,10.281800263919045,0.16100714582007838,5.169095420934218,9.00803381231316,0.2753733404008743,0.048063165178634064
50,10,1000,0.0,3.55437680509234,0.20656226549052006,3.208798132974282,4.325158796433493,11.915397229207262,0.20656226549052006,3.4588962386149196,4.9424113595963615,1.3480795287527976,0.11385343105969835
60,10,1000,0.0,2.339300415139548,0.22426543557483558,1.8911196747604038,3.2474295698658153,13.130473619160053,0.22426543557483558,2.2278543069486396,4.165857454471406,1.5349584056502,0.16448001854033675
70,10,1000,0.0,1.461600627482858,0.23120406381713726,0.9101065529827181,2.5414308853087793,14.008173406816743,0.23120406381713726,1.421765455339497,5.9966900963518945,0.3072650797036359,-0.004629725280529935
80,10,1000,0.0,0.6729742887434249,0.25208824386823003,0.09604991299223187,1.6188351037990625,14.796799745556175,0.25208824386823003,0.6493534595611575,6.08100048396913,0.20674551826382756,0.02847496047740067
90,10,1000,0.689,-0.11236174594373455,0.2689256659971362,-0.8786342870461468,1.0231121703110233,15.582135780243336,0.2689256659971362,-0.1299579989270167,5.71012363392292,0.17124564849194668,0.047922941925600655
100,10,1000,1.0,-1.0059345365898535,0.32069448816584734,-2.0426781534221767,-0.053533193978907434,16.475708570889456,0.32069448816584734,-1.0047236075964316,4.223656514722265,0.18588911467363117,0.1931257656081971
